tod,Total Overdose
tmania,Trackmania
tmanian,Trackmania Nations
tms,Trackmania Sunrise
tmaniau,Trackmania United
trs2006,Trainz Railroad Simulator 2006
tribes2,Tribes 2
tribesv,Tribes Vengeance
tvmpd,Tribes Vengeance Multiplayer Demo
trickstero,Trickster Online
tron2,Tron 2.0
uttr,Troopers - Dawn of Destiny
trop,Tropico
trop2,Tropico 2 Pirate Cove
tcrimenyc,True Crime - New York City
tcrime,True Crime - Streets of LA
truep,TruePoker.com
tcny,Tycoon City - New York
ubers,UberSoldier
ufoa,UFO Aftershock
uo,Ultima Online
ubpoker,Ultimate Bet.com
uspidermn,Ultimate Spider-Man
ucawamp,Universal Combat AWA Multiplayer
ucawasp,Universal Combat AWA Single Player
ucgmp,Universal Combat Gold Multiplayer
ucgsp,Universal Combat Gold Single Player
ucmp,Universal Combat Multiplayer
ucsp,Universal Combat Single Player
unknown,Unknown Game
unreal,Unreal
u2sp,Unreal II SP
u2xmp,Unreal II XMP
ut,Unreal Tournament
ut2k3,Unreal Tournament 2003
ut2k4,Unreal Tournament 2004
ut2k4dem,Unreal Tournament 2004 Demo
uldk,Untold Legends: Dark Kingdom
vampmb,Vampire - The Masquerade Bloodlines
vanguardb,Vanguard - Saga of Heroes
vntrl,Ventrilo
vcong,Vietcong
vcong2,Vietcong 2
vcongfa,Vietcong Fist Alpha
warf,War Front - Turning Point
wc2,Warcraft II
w3,Warcraft III
w3ft,Warcraft III - The Frozen Throne
wh40kb,"Warhammer 40,000 Dawn of War Beta"
whmoc,Warhammer Mark of Chaos
whmocmpd,Warhammer Mark of Chaos MP Demo
wbc3,Warlords Battlecry III
wl4,Warlords IV: Heroes of Etheria
wrock,WarRock
warsow,Warsow
we7,Winning Eleven 7 INTERNATIONAL
we8,Winning Eleven 8I
we9,Winning Eleven 9
wet,Wolfenstein: Enemy Territory
wow,World of Warcraft
worms3d,Worms 3D
worms4m,Worms 4 Mayhem
wormsa,Worms Armageddon
wormswp,Worms World Party
wptpoker,WPTOnline.com
wulf2,Wulfram 2
ww2o,WWII Online
x2,X2 - The Threat
x3,X3 - The Reunion
xe,XEvil
xiii,XIII
xmenl2,X-Men Legends 2
xrally,Xpand Rally
xwinga,X-Wing Alliance
xwvstf,X-Wing vs. TIE Fighter
zt,Zoo Tycoon
zt2,Zoo Tycoon 2
zt2aa,Zoo Tycoon 2 African Adventure
zt2es,Zoo Tycoon 2 Endangered Species
zt2mm,Zoo Tycoon 2 Marine Mania
